Well,Sample,Bio_rep,Tech_rep,FLC_conc,Strain,Type
A1,B,NA,NA,NA,NA,NA
A2,B,NA,NA,NA,NA,NA
A3,B,NA,NA,NA,NA,NA
A4,B,NA,NA,NA,NA,NA
A5,B,NA,NA,NA,NA,NA
A6,B,NA,NA,NA,NA,NA
A7,B,NA,NA,NA,NA,NA
A8,B,NA,NA,NA,NA,NA
A9,B,NA,NA,NA,NA,NA
A10,B,NA,NA,NA,NA,NA
A11,B,NA,NA,NA,NA,NA
A12,B,NA,NA,NA,NA,NA
B1,B,NA,NA,NA,NA,NA
B2,DGY3612_0,1,1,0,DGY3612,Diploid
B3,DGY3612_0,1,2,0,DGY3612,Diploid
B4,DGY3612_0,1,3,0,DGY3612,Diploid
B5,DGY3612_0,2,1,0,DGY3612,Diploid
B6,DGY3612_0,2,2,0,DGY3612,Diploid
B7,DGY3612_0,2,3,0,DGY3612,Diploid
B8,DGY3_0,1,1,0,DGY3,Diploid
B9,DGY3_0,1,2,0,DGY3,Diploid
B10,DGY3_0,1,3,0,DGY3,Diploid
B11,B,NA,NA,NA,NA,NA
B12,B,NA,NA,NA,NA,NA
C1,B,NA,NA,NA,NA,NA
C2,DGY3612_8,1,1,8,DGY3612,Diploid
C3,DGY3612_8,1,2,8,DGY3612,Diploid
C4,DGY3612_8,1,3,8,DGY3612,Diploid
C5,DGY3612_8,2,1,8,DGY3612,Diploid
C6,DGY3612_8,2,2,8,DGY3612,Diploid
C7,DGY3612_8,2,3,8,DGY3612,Diploid
C8,DGY3_8,1,1,8,DGY3,Diploid
C9,DGY3_8,1,2,8,DGY3,Diploid
C10,DGY3_8,1,3,8,DGY3,Diploid
C11,B,NA,NA,NA,NA,NA
C12,B,NA,NA,NA,NA,NA
D1,B,NA,NA,NA,NA,NA
D2,DGY3612_16,1,1,16,DGY3612,Diploid
D3,DGY3612_16,1,2,16,DGY3612,Diploid
D4,DGY3612_16,1,3,16,DGY3612,Diploid
D5,DGY3612_16,2,1,16,DGY3612,Diploid
D6,DGY3612_16,2,2,16,DGY3612,Diploid
D7,DGY3612_16,2,3,16,DGY3612,Diploid
D8,DGY3_16,1,1,16,DGY3,Diploid
D9,DGY3_16,1,2,16,DGY3,Diploid
D10,DGY3_16,1,3,16,DGY3,Diploid
D11,B,NA,NA,NA,NA,NA
D12,B,NA,NA,NA,NA,NA
E1,B,NA,NA,NA,NA,NA
E2,DGY3612_32,1,1,32,DGY3612,Diploid
E3,DGY3612_32,1,2,32,DGY3612,Diploid
E4,DGY3612_32,1,3,32,DGY3612,Diploid
E5,DGY3612_32,2,1,32,DGY3612,Diploid
E6,DGY3612_32,2,2,32,DGY3612,Diploid
E7,DGY3612_32,2,3,32,DGY3612,Diploid
E8,DGY3_32,1,1,32,DGY3,Diploid
E9,DGY3_32,1,2,32,DGY3,Diploid
E10,DGY3_32,1,3,32,DGY3,Diploid
E11,B,NA,NA,NA,NA,NA
E12,B,NA,NA,NA,NA,NA
F1,B,NA,NA,NA,NA,NA
F2,DGY3612_64,1,1,64,DGY3612,Diploid
F3,DGY3612_64,1,2,64,DGY3612,Diploid
F4,DGY3612_64,1,3,64,DGY3612,Diploid
F5,DGY3612_64,2,1,64,DGY3612,Diploid
F6,DGY3612_64,2,2,64,DGY3612,Diploid
F7,DGY3612_64,2,3,64,DGY3612,Diploid
F8,DGY3_64,1,1,64,DGY3,Diploid
F9,DGY3_64,1,2,64,DGY3,Diploid
F10,DGY3_64,1,3,64,DGY3,Diploid
F11,B,NA,NA,NA,NA,NA
F12,B,NA,NA,NA,NA,NA
G1,B,NA,NA,NA,NA,NA
G2,DGY3612_128,1,1,128,DGY3612,Diploid
G3,DGY3612_128,1,2,128,DGY3612,Diploid
G4,DGY3612_128,1,3,128,DGY3612,Diploid
G5,DGY3612_128,2,1,128,DGY3612,Diploid
G6,DGY3612_128,2,2,128,DGY3612,Diploid
G7,DGY3612_128,2,3,128,DGY3612,Diploid
G8,DGY3_128,1,1,128,DGY3,Diploid
G9,DGY3_128,1,2,128,DGY3,Diploid
G10,DGY3_128,1,3,128,DGY3,Diploid
G11,B,NA,NA,NA,NA,NA
G12,B,NA,NA,NA,NA,NA
H1,B,NA,NA,NA,NA,NA
H2,B,NA,NA,NA,NA,NA
H3,B,NA,NA,NA,NA,NA
H4,B,NA,NA,NA,NA,NA
H5,B,NA,NA,NA,NA,NA
H6,B,NA,NA,NA,NA,NA
H7,B,NA,NA,NA,NA,NA
H8,B,NA,NA,NA,NA,NA
H9,B,NA,NA,NA,NA,NA
H10,B,NA,NA,NA,NA,NA
H11,B,NA,NA,NA,NA,NA
H12,B,NA,NA,NA,NA,NA
